num_lectures,price,days_since_published,content_duration
16,55,2739,1.5
5,20,1935,0.5166666666666666
31,20,2855,2.0
24,20,3779,1.0
11,40,2624,0.5833333333333334
18,50,2104,2.0
7,20,2302,1.0
11,100,2507,0.5
26,50,3112,7.5
70,30,2663,7.0
14,50,2000,1.0
20,0,2390,4.0
20,0,2077,2.0
65,20,2299,2.5
10,30,3300,2.0
77,50,2173,17.5
9,30,2786,1.0
24,20,2547,1.5
35,40,1939,5.5
69,0,2007,20.5
79,40,2053,6.5
15,95,3266,1.0
90,85,2732,5.0
9,50,2285,0.5166666666666666
8,20,2484,0.65
28,40,2257,4.0
58,95,2581,7.0
14,20,3105,1.5
37,200,2890,5.5
14,35,3072,1.0
16,50,2062,2.0
23,75,3007,2.0
58,20,2709,6.0
9,50,2355,2.0
84,20,2652,5.5
23,75,2805,3.0
69,80,2026,4.5
34,95,2384,2.5
48,85,2893,3.5
26,20,2540,2.5
35,20,2796,3.0
41,20,2426,4.0
20,200,2098,3.0
194,150,2546,24.5
129,150,2168,13.5
62,150,2265,2.0
26,55,2330,4.0
12,20,2484,3.0
11,50,2031,1.0
8,20,2015,1.0
14,40,2625,1.5
145,200,2186,14.5
63,50,2184,1.5
24,195,2867,5.0
16,120,2856,1.5
34,20,3359,1.5
42,50,3148,4.5
9,20,2410,1.0
20,0,2277,0.6166666666666667
10,50,2246,1.0
9,35,2779,0.55
11,0,1965,1.5
100,0,2133,5.0
25,30,2501,1.5
88,40,2482,7.5
17,20,2637,2.0
159,195,2185,18.5
6,135,1938,1.0
14,30,2202,1.0
111,150,2316,21.0
34,20,3138,6.5
57,50,2159,6.5
46,45,2561,5.5
10,70,2020,1.5
14,0,3101,1.5
81,20,2721,4.5
20,30,1938,3.0
13,30,2765,1.5
8,20,2768,1.0
30,50,2389,6.0
113,95,2176,2.0
16,20,1995,1.0
31,100,2245,3.0
25,40,2537,4.0
22,0,3819,2.5
18,45,2447,1.0
10,30,2628,1.0
13,40,2098,1.0
5,20,3359,1.0
11,20,2071,1.0
87,60,2461,17.5
50,200,2531,5.5
28,85,2131,3.5
110,50,2790,9.0
24,50,2378,4.0
8,65,2546,1.0
18,90,1997,2.5
46,75,2632,4.5
13,20,3261,0.6333333333333333
26,100,2659,3.5
185,100,3960,12.0
27,25,2461,6.0
28,80,2937,2.5
9,75,1943,2.5
19,0,2645,2.0
55,105,2256,6.0
27,20,2009,1.5
11,20,2828,0.6833333333333333
39,40,2099,5.5
30,30,2258,4.0
362,200,2999,30.0
11,0,2370,0.55
64,75,2452,4.5
9,35,2165,1.5
174,45,2225,16.5
20,20,3204,2.0
8,20,3437,1.0
5,20,2320,0.6
57,20,2778,2.0
